"soma_id","target_full_name","target","uniprot","entrez_gene_id","entrez_gene_symbol","dilution","col_check","uniprot_single","entrez_gene_id_single","gene_id","converted_seq_ids","intracellular","membrane","secreted"
"SL009828","DNA-binding protein SATB1","SATB1","Q01826","6304","SATB1",10,"PASS","Q01826","6304","SATB1","seq.13511.29",TRUE,FALSE,FALSE
"SL013259","Heterogeneous nuclear ribonucleoprotein R","HNRPR","O43390","10236","HNRNPR",10,"PASS","O43390","10236","HNRNPR","seq.13512.28",TRUE,FALSE,FALSE
"SL020133","E3 SUMO-protein ligase PIAS3","PIAS3","Q9Y6X2","10401","PIAS3",10,"PASS","Q9Y6X2","10401","PIAS3","seq.13513.174",TRUE,FALSE,FALSE
"SL005732","Ras-related protein Rab-35","Rab-1C","Q15286","11021","RAB35",10,"PASS","Q15286","11021","RAB35","seq.13514.121",TRUE,FALSE,FALSE
"SL020146","Regulation of nuclear pre-mRNA domain-containing protein 1A","RPR1A","Q96P16","55197","RPRD1A",10,"PASS","Q96P16","55197","RPRD1A","seq.13515.8",TRUE,FALSE,FALSE
"SL016509","ER membrane protein complex subunit 4","TMM85","Q5J8M3","51234","EMC4",0.5,"PASS","Q5J8M3","51234","EMC4","seq.13516.46",TRUE,TRUE,FALSE
"SL020152","Patched domain-containing protein 3","PTHD3","Q3KNS1","374308","PTCHD3",10,"PASS","Q3KNS1","374308","PTCHD3","seq.13517.3",NA,NA,NA
"SL014608","Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2","ASAP2","O43150","8853","ASAP2",0.5,"PASS","O43150","8853","ASAP2","seq.13518.5",TRUE,FALSE,FALSE
"SL020123","Rho guanine nucleotide exchange factor 25","ARHGP","Q86VW2","115557","ARHGEF25",10,"PASS","Q86VW2","115557","ARHGEF25","seq.13519.112",TRUE,FALSE,FALSE
"SL007318","Visinin-like protein 1","VISL1","P62760","7447","VSNL1",10,"PASS","P62760","7447","VSNL1","seq.13522.20",TRUE,FALSE,FALSE
"SL020161","Heparan-sulfate 6-O-sulfotransferase 2","H6ST2","Q96MM7","90161","HS6ST2",10,"PASS","Q96MM7","90161","HS6ST2","seq.13524.25",TRUE,TRUE,FALSE
"SL020151","Potassium voltage-gated channel subfamily G member 4","KCNG4","Q8TDN1","93107","KCNG4",10,"PASS","Q8TDN1","93107","KCNG4","seq.13525.17",FALSE,TRUE,FALSE
"SL025914","Lupus La protein:RNA recognition motif","LA:RRM","P05455","6741","SSB",10,"PASS","P05455","6741","SSB","seq.13526.5",TRUE,FALSE,FALSE
"SL020132","Nucleosome assembly protein 1-like 2","NP1L2","Q9ULW6","4674","NAP1L2",0.5,"PASS","Q9ULW6","4674","NAP1L2","seq.13529.39",TRUE,FALSE,FALSE
"SL020120","Urotensin-2 receptor","UR2R","Q9UKP6","2837","UTS2R",10,"PASS","Q9UKP6","2837","UTS2R","seq.13530.5",FALSE,TRUE,FALSE
"SL020160","Nuclear envelope phosphatase-regulatory subunit 1","NEPR1","Q8N9A8","255919","CNEP1R1",10,"PASS","Q8N9A8","255919","CNEP1R1","seq.13532.25",FALSE,TRUE,FALSE
"SL008132","Myomesin-2","MYOM2","P54296","9172","MYOM2",10,"PASS","P54296","9172","MYOM2","seq.13534.20",TRUE,FALSE,FALSE
"SL025805","Collagen type IV alpha-3-binding protein:PH domain","C43BP:PH domain","Q9Y5P4","10087","CERT1",10,"PASS","Q9Y5P4","10087","CERT1","seq.13535.2",TRUE,FALSE,FALSE
"SL020124","DNA polymerase iota","POLI","Q9UNA4","11201","POLI",10,"PASS","Q9UNA4","11201","POLI","seq.13536.56",TRUE,FALSE,FALSE
"SL020168","Small conductance calcium-activated potassium channel protein 1","KCNN1","Q92952","3780","KCNN1",10,"PASS","Q92952","3780","KCNN1","seq.13539.131",TRUE,TRUE,FALSE
"SL020159","G-protein coupled receptor 26","GPR26","Q8NDV2","2849","GPR26",10,"PASS","Q8NDV2","2849","GPR26","seq.13540.1",FALSE,TRUE,FALSE
"SL016488","Myc target protein 1","MYCT1","Q8N699","80177","MYCT1",10,"PASS","Q8N699","80177","MYCT1","seq.13541.1",TRUE,TRUE,FALSE
"SL005407","Prostaglandin reductase 1","LTB4DH","Q14914","22949","PTGR1",10,"PASS","Q14914","22949","PTGR1","seq.13543.7",TRUE,FALSE,FALSE
"SL011276","Rho GTPase-activating protein 45","HMHA1","Q92619","23526","ARHGAP45",10,"PASS","Q92619","23526","ARHGAP45","seq.13544.9",TRUE,FALSE,FALSE
"SL013206","Probable RNA-binding protein EIF1AD","EIF1A","Q8N9N8","84285","EIF1AD",10,"PASS","Q8N9N8","84285","EIF1AD","seq.13545.97",TRUE,FALSE,FALSE
"SL019581","5-hydroxytryptamine receptor 7","5HT7R","P34969","3363","HTR7",10,"PASS","P34969","3363","HTR7","seq.13547.5",FALSE,TRUE,FALSE
"SL020158","Phosphatidate phosphatase PPAPDC1A","PPC1A","Q5VZY2","196051","PLPP4",10,"PASS","Q5VZY2","196051","PLPP4","seq.13548.53",FALSE,TRUE,FALSE
"SL020150","Disintegrin and metalloproteinase domain-containing protein 29","ADA29","Q9UKF5","11086","ADAM29",10,"PASS","Q9UKF5","11086","ADAM29","seq.13549.15",TRUE,TRUE,FALSE
"SL010879","Switch-associated protein 70","SWP70","Q9UH65","23075","SWAP70",10,"PASS","Q9UH65","23075","SWAP70","seq.13552.7",TRUE,FALSE,FALSE
"SL020126","DCN1-like protein 3","DCNL3","Q8IWE4","123879","DCUN1D3",10,"PASS","Q8IWE4","123879","DCUN1D3","seq.13553.4",TRUE,FALSE,FALSE
"SL020118","Replication initiator 1","REPI1","Q9BWE0","29803","REPIN1",10,"PASS","Q9BWE0","29803","REPIN1","seq.13554.78",TRUE,FALSE,FALSE
"SL020157","5-hydroxytryptamine receptor 2A","5HT2A","P28223","3356","HTR2A",10,"PASS","P28223","3356","HTR2A","seq.13556.28",FALSE,TRUE,FALSE
"SL004802","Nectin-3","Nectin 3","Q9NQS3","25945","NECTIN3",10,"PASS","Q9NQS3","25945","NECTIN3","seq.13557.3",TRUE,TRUE,FALSE
"SL020176","5-hydroxytryptamine receptor 6","5HT6R","P50406","3362","HTR6",10,"PASS","P50406","3362","HTR6","seq.13561.5",FALSE,TRUE,FALSE
"SL020184","Acyl-CoA-binding domain-containing protein 7","ACBD7","Q8N6N7","414149","ACBD7",10,"PASS","Q8N6N7","414149","ACBD7","seq.13563.259",TRUE,FALSE,FALSE
"SL003760","Retinoblastoma-like protein 2","p130","Q08999","5934","RBL2",0.5,"PASS","Q08999","5934","RBL2","seq.13565.2",TRUE,FALSE,FALSE
"SL020204","RNA polymerase II subunit A C-terminal domain phosphatase SSU72","SSU72","Q9NP77","29101","SSU72",10,"PASS","Q9NP77","29101","SSU72","seq.13566.2",TRUE,FALSE,FALSE
"SL008214","Dihydropyrimidinase-related protein 2","DPYL2","Q16555","1808","DPYSL2",10,"PASS","Q16555","1808","DPYSL2","seq.13567.1",TRUE,FALSE,FALSE
"SL011203","26S proteasome non-ATPase regulatory subunit 4","PSMD4","P55036","5710","PSMD4",10,"PASS","P55036","5710","PSMD4","seq.13568.30",TRUE,FALSE,FALSE
"SL008163","Vigilin","VIGLN","Q00341","3069","HDLBP",10,"PASS","Q00341","3069","HDLBP","seq.13570.43",TRUE,FALSE,FALSE
"SL010941","26S proteasome non-ATPase regulatory subunit 11","PSD11","O00231","5717","PSMD11",10,"PASS","O00231","5717","PSMD11","seq.13572.43",TRUE,FALSE,FALSE
"SL004616","Actin-related protein 2/3 complex subunit 3","p21-ARC","O15145","10094","ARPC3",10,"PASS","O15145","10094","ARPC3","seq.13573.5",TRUE,FALSE,FALSE
"SL020205","Rho-related GTP-binding protein Rho6","RND1","Q92730","27289","RND1",10,"PASS","Q92730","27289","RND1","seq.13574.50",TRUE,FALSE,FALSE
"SL020209","Segment polarity protein dishevelled homolog DVL-2","DVL2","O14641","1856","DVL2",0.5,"PASS","O14641","1856","DVL2","seq.13575.40",TRUE,FALSE,FALSE
"SL003643","Glutathione S-transferase P","Glutathione S-transferase Pi","P09211","2950","GSTP1",0.5,"PASS","P09211","2950","GSTP1","seq.13576.15",TRUE,FALSE,FALSE
"SL017896","Splicing factor U2AF 65 kDa subunit","U2AF2","P26368","11338","U2AF2",10,"PASS","P26368","11338","U2AF2","seq.13577.25",TRUE,FALSE,FALSE
"SL020134","Actin-binding LIM protein 3","ABLM3","O94929","22885","ABLIM3",10,"PASS","O94929","22885","ABLIM3","seq.13578.98",TRUE,FALSE,FALSE
"SL009232","UDP-N-acetylhexosamine pyrophosphorylase","Sperm-associated antigen 2","Q16222","6675","UAP1",10,"PASS","Q16222","6675","UAP1","seq.13580.2",TRUE,FALSE,FALSE
"SL003661","Apoptotic protease-activating factor 1","Apaf-1","O14727","317","APAF1",10,"PASS","O14727","317","APAF1","seq.13583.19",TRUE,FALSE,FALSE
"SL005989","Rac GTPase-activating protein 1","RGAP1","Q9H0H5","29127","RACGAP1",10,"PASS","Q9H0H5","29127","RACGAP1","seq.13587.10",TRUE,FALSE,FALSE
"SL020193","Annexin A9","ANXA9","O76027","8416","ANXA9",10,"PASS","O76027","8416","ANXA9","seq.13588.11",TRUE,FALSE,FALSE
"SL025798","Amyloid beta A4 precursor protein-binding family B member 3:Phosphotyrosine Interaction Domain 2, Isoform IV","APBB3:PID 2","O95704","10307","APBB3",10,"PASS","O95704","10307","APBB3","seq.13589.10",TRUE,FALSE,FALSE
"SL020207","Oligoribonuclease, mitochondrial","ORN","Q9Y3B8","25996","REXO2",0.5,"PASS","Q9Y3B8","25996","REXO2","seq.13590.1",TRUE,FALSE,FALSE
"SL020210","DNA primase small subunit","PRI1","P49642","5557","PRIM1",10,"PASS","P49642","5557","PRIM1","seq.13591.31",TRUE,FALSE,FALSE
"SL020181","ADP-ribosylation factor-binding protein GGA1","GGA1","Q9UJY5","26088","GGA1",10,"PASS","Q9UJY5","26088","GGA1","seq.13594.158",TRUE,FALSE,FALSE
"SL020185","Thiamine-triphosphatase","THTPA","Q9BU02","79178","THTPA",10,"PASS","Q9BU02","79178","THTPA","seq.13595.20",TRUE,FALSE,FALSE
"SL006957","Ras-related protein Rab-27B","RB27B","O00194","5874","RAB27B",10,"PASS","O00194","5874","RAB27B","seq.13596.3",TRUE,FALSE,FALSE
"SL014934","Ras-related protein Rab-31","RAB31","Q13636","11031","RAB31",10,"PASS","Q13636","11031","RAB31","seq.13597.20",TRUE,FALSE,FALSE
"SL020211","Rab9 effector protein with kelch motifs","RABEK","Q7Z6M1","10244","RABEPK",10,"PASS","Q7Z6M1","10244","RABEPK","seq.13599.15",TRUE,FALSE,FALSE
"SL013050","NHP2-like protein 1","NH2L1","P55769","4809","SNU13",10,"PASS","P55769","4809","SNU13","seq.13602.6",TRUE,FALSE,FALSE
"SL020186","Rieske domain-containing protein","RFESD","Q8TAC1","317671","RFESD",10,"PASS","Q8TAC1","317671","RFESD","seq.13603.7",TRUE,FALSE,FALSE
"SL020194","E3 ubiquitin-protein ligase NEURL1","NEUL1","O76050","9148","NEURL1",10,"PASS","O76050","9148","NEURL1","seq.13604.27",TRUE,FALSE,FALSE
"SL015314","Annexin A10","ANX10","Q9UJ72","11199","ANXA10",10,"PASS","Q9UJ72","11199","ANXA10","seq.13605.16",TRUE,FALSE,FALSE
"SL007326","General transcription factor II-I","GTF2I","P78347","2969","GTF2I",10,"PASS","P78347","2969","GTF2I","seq.13609.11",TRUE,FALSE,FALSE
"SL005065","Melanoma-associated antigen 10","MAGE-10","P43363","4109","MAGEA10",10,"PASS","P43363","4109","MAGEA10","seq.13610.9",TRUE,FALSE,FALSE
"SL020195","Cytohesin-interacting protein","CYTIP","O60759","9595","CYTIP",10,"PASS","O60759","9595","CYTIP","seq.13612.7",TRUE,FALSE,FALSE
"SL005741","Adenylate kinase isoenzyme 5","Adenylate kinase isoenzyme 5","Q9Y6K8","26289","AK5",10,"PASS","Q9Y6K8","26289","AK5","seq.13613.23",TRUE,FALSE,FALSE
"SL003777","CREB-binding protein","CREB-binding protein","Q92793","1387","CREBBP",0.5,"PASS","Q92793","1387","CREBBP","seq.13614.6",TRUE,FALSE,FALSE
"SL007010","Cytoplasmic protein NCK2","NCK2","O43639","8440","NCK2",10,"PASS","O43639","8440","NCK2","seq.13615.60",TRUE,FALSE,FALSE
"SL015381","Mitotic spindle assembly checkpoint protein MAD1","MD1L1","Q9Y6D9","8379","MAD1L1",10,"PASS","Q9Y6D9","8379","MAD1L1","seq.13618.15",TRUE,FALSE,FALSE
"SL016377","ATPase ASNA1","ASNA","O43681","439","GET3",10,"PASS","O43681","439","GET3","seq.13620.10",TRUE,FALSE,FALSE
"SL020199","AP-2 complex subunit alpha-2","AP2A2","O94973","161","AP2A2",10,"PASS","O94973","161","AP2A2","seq.13621.31",TRUE,FALSE,FALSE
"SL014961","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform","2A5A","Q15172","5525","PPP2R5A",10,"PASS","Q15172","5525","PPP2R5A","seq.13622.16",TRUE,FALSE,FALSE
"SL007956","Histone-lysine N-methyltransferase 2D","MLL2","O14686","8085","KMT2D",10,"PASS","O14686","8085","KMT2D","seq.13623.4",TRUE,FALSE,FALSE
"SL020213","NAD kinase","NADK","O95544","65220","NADK",10,"PASS","O95544","65220","NADK","seq.13624.17",TRUE,FALSE,FALSE
"SL025915","Lupus La protein:HTH La-type RNA-binding domain","LA:HTH","P05455","6741","SSB",10,"PASS","P05455","6741","SSB","seq.13625.19",TRUE,FALSE,FALSE
"SL020196","Growth factor receptor-bound protein 14","GRB14","Q14449","2888","GRB14",0.5,"PASS","Q14449","2888","GRB14","seq.13628.58",TRUE,FALSE,FALSE
"SL020200","Cysteine protease ATG4B","ATG4B","Q9Y4P1","23192","ATG4B",10,"PASS","Q9Y4P1","23192","ATG4B","seq.13629.25",TRUE,FALSE,FALSE
"SL003766","Retinoblastoma-binding protein 5","RB binding protein 5","Q15291","5929","RBBP5",10,"PASS","Q15291","5929","RBBP5","seq.13631.1",TRUE,FALSE,FALSE
"SL009456","Zyxin","Zyxin","Q15942","7791","ZYX",0.5,"PASS","Q15942","7791","ZYX","seq.13632.10",TRUE,FALSE,FALSE
"SL006975","Pirin","PIR","O00625","8544","PIR",10,"PASS","O00625","8544","PIR","seq.13634.209",TRUE,FALSE,FALSE
"SL008135","Nucleosome assembly protein 1-like 1","NP1L1","P55209","4673","NAP1L1",10,"PASS","P55209","4673","NAP1L1","seq.13636.20",TRUE,FALSE,FALSE
"SL016380","General vesicular transport factor p115","USO1","O60763","8615","USO1",10,"PASS","O60763","8615","USO1","seq.13639.101",TRUE,FALSE,FALSE
"SL007223","B-cell lymphoma 6 protein","BCL6","P41182","604","BCL6",10,"PASS","P41182","604","BCL6","seq.13640.5",TRUE,FALSE,FALSE
"SL004393","Interferon-induced protein with tetratricopeptide repeats 3","CIG49","O14879","3437","IFIT3",10,"PASS","O14879","3437","IFIT3","seq.13642.90",TRUE,FALSE,FALSE
"SL016371","Hepatocyte growth factor-regulated tyrosine kinase substrate","HGS","O14964","9146","HGS",10,"PASS","O14964","9146","HGS","seq.13644.30",TRUE,FALSE,FALSE
"SL020202","Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16","PRP16","Q92620","9785","DHX38",10,"PASS","Q92620","9785","DHX38","seq.13645.14",TRUE,FALSE,FALSE
"SL020183","Kv channel-interacting protein 1","KCIP1","Q9NZI2","30820","KCNIP1",10,"PASS","Q9NZI2","30820","KCNIP1","seq.13650.11",TRUE,FALSE,FALSE
"SL020192","E3 ubiquitin-protein ligase ZFP91","ZFP91","Q96JP5","80829","ZFP91",10,"PASS","Q96JP5","80829","ZFP91","seq.13651.54",TRUE,FALSE,FALSE
"SL020197","TOM1-like protein 1","TM1L1","O75674","10040","TOM1L1",0.5,"PASS","O75674","10040","TOM1L1","seq.13652.2",TRUE,FALSE,FALSE
"SL020203","O-acetyl-ADP-ribose deacetylase MACROD1","MACD1","Q9BQ69","28992","MACROD1",10,"PASS","Q9BQ69","28992","MACROD1","seq.13653.335",TRUE,FALSE,FALSE
"SL005370","Rho-associated protein kinase 2","ROCK2","O75116","9475","ROCK2",10,"PASS","O75116","9475","ROCK2","seq.13654.1",TRUE,FALSE,FALSE
"SL005695","Nucleolin","Nucleolin","P19338","4691","NCL",10,"PASS","P19338","4691","NCL","seq.13655.34",TRUE,FALSE,FALSE
"SL007610","Bifunctional polynucleotide phosphatase/kinase","PNKP","Q96T60","11284","PNKP",10,"PASS","Q96T60","11284","PNKP","seq.13657.2",TRUE,FALSE,FALSE
"SL011071","Platelet-derived growth factor C","PDGF-CC","Q9NRA1","56034","PDGFC",10,"PASS","Q9NRA1","56034","PDGFC","seq.13658.31",FALSE,FALSE,TRUE
"SL020228","Manganese-transporting ATPase 13A1","AT131","Q9HD20","57130","ATP13A1",0.5,"PASS","Q9HD20","57130","ATP13A1","seq.13659.36",TRUE,TRUE,FALSE
"SL001996","Angiopoietin-2","Angiopoietin-2","O15123","285","ANGPT2",10,"PASS","O15123","285","ANGPT2","seq.13660.76",FALSE,FALSE,TRUE
"SL008382","Cystatin-D","CYTD","P28325","1473","CST5",10,"PASS","P28325","1473","CST5","seq.13661.193",FALSE,FALSE,TRUE
"SL000480","Interleukin-4","IL-4","P05112","3565","IL4",10,"PASS","P05112","3565","IL4","seq.13663.2",FALSE,FALSE,TRUE
"SL004990","Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha","PP2A, subunit B","Q06190","5523","PPP2R3A",10,"PASS","Q06190","5523","PPP2R3A","seq.13665.35",TRUE,FALSE,FALSE
"SL010449","Carbonic anhydrase-related protein 10","Carbonic Anhydrase X","Q9NS85","56934","CA10",10,"PASS","Q9NS85","56934","CA10","seq.13666.222",TRUE,FALSE,TRUE
"SL004136","Tyrosine-protein kinase receptor TYRO3","Dtk","Q06418","7301","TYRO3",10,"PASS","Q06418","7301","TYRO3","seq.13668.44",TRUE,TRUE,FALSE
"SL025861","Fibroblast growth factor receptor 3:Extracellular domain","FGFR-3:ECD","P22607","2261","FGFR3",10,"PASS","P22607","2261","FGFR3","seq.13669.6",TRUE,TRUE,FALSE
"SL004066","Group IIE secretory phospholipase A2","GIIE","Q9NZK7","30814","PLA2G2E",10,"PASS","Q9NZK7","30814","PLA2G2E","seq.13670.81",FALSE,FALSE,TRUE
"SL000401","Neutrophil elastase","Elastase","P08246","1991","ELANE",0.5,"PASS","P08246","1991","ELANE","seq.13671.40",FALSE,FALSE,TRUE
"SL013017","Heat shock 70 kDa protein 6","HSP76","P17066","3310","HSPA6",10,"PASS","P17066","3310","HSPA6","seq.13672.3",TRUE,FALSE,FALSE
"SL008288","T-complex protein 1 subunit eta","TCPH","Q99832","10574","CCT7",10,"PASS","Q99832","10574","CCT7","seq.13673.21",TRUE,FALSE,FALSE
"SL001933","Inhibin beta B chain","Inhibin bB chain","P09529","3625","INHBB",10,"PASS","P09529","3625","INHBB","seq.13676.46",FALSE,FALSE,TRUE
"SL003327","Complement factor D","Factor D","P00746","1675","CFD",0.5,"PASS","P00746","1675","CFD","seq.13678.169",FALSE,FALSE,TRUE
"SL020216","NGFI-A-binding protein 2","NAB2","Q15742","4665","NAB2",10,"PASS","Q15742","4665","NAB2","seq.13680.3",TRUE,FALSE,FALSE
"SL013751","Casein kinase II subunit alpha'","CSK22","P19784","1459","CSNK2A2",10,"PASS","P19784","1459","CSNK2A2","seq.13681.173",TRUE,FALSE,FALSE
"SL004153","Macrophage colony-stimulating factor 1 receptor","M-CSF R","P07333","1436","CSF1R",0.005,"PASS","P07333","1436","CSF1R","seq.13682.47",TRUE,TRUE,FALSE
"SL020231","Chloride channel protein ClC-Kb","CLCKB","P51801","1188","CLCNKB",10,"PASS","P51801","1188","CLCNKB","seq.13683.18",TRUE,TRUE,FALSE
"SL005188","Interleukin-5 receptor subunit alpha","IL-5 Ra","Q01344","3568","IL5RA",10,"PASS","Q01344","3568","IL5RA","seq.13686.2",TRUE,TRUE,FALSE
"SL003176","C-C motif chemokine 1","I-309","P22362","6346","CCL1",10,"PASS","P22362","6346","CCL1","seq.13687.5",FALSE,FALSE,TRUE
"SL020217","Calcyphosin-like protein","CAPSL","Q8WWF8","133690","CAPSL",10,"PASS","Q8WWF8","133690","CAPSL","seq.13688.2",TRUE,FALSE,FALSE
"SL003670","Ornithine decarboxylase","Ornithine decarboxylase","P11926","4953","ODC1",10,"PASS","P11926","4953","ODC1","seq.13689.2",TRUE,FALSE,FALSE
"SL007804","Biglycan","BGN","P21810","633","BGN",10,"PASS","P21810","633","BGN","seq.13690.26",FALSE,FALSE,TRUE
"SL020232","Sodium-coupled monocarboxylate transporter 1","SC5A8","Q8N695","160728","SLC5A8",0.5,"PASS","Q8N695","160728","SLC5A8","seq.13691.10",FALSE,TRUE,FALSE
"SL004689","WNT1-inducible-signaling pathway protein 1","WISP-1","O95388","8840","CCN4",10,"PASS","O95388","8840","CCN4","seq.13692.154",FALSE,FALSE,TRUE
"SL012538","Cerebral dopamine neurotrophic factor","ARMEL","Q49AH0","441549","CDNF",10,"PASS","Q49AH0","441549","CDNF","seq.13693.5",TRUE,FALSE,TRUE
"SL005226","Cytokine receptor-like factor 2","TSLP R","Q9HC73","64109","CRLF2",10,"PASS","Q9HC73","64109","CRLF2","seq.13694.24",FALSE,TRUE,FALSE
"SL007151","Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic","GPDA","P21695","2819","GPD1",0.5,"PASS","P21695","2819","GPD1","seq.13697.51",TRUE,FALSE,FALSE
"SL020223","Dyslexia-associated protein KIAA0319-like protein","K319L","Q8IZA0","79932","KIAA0319L",10,"PASS","Q8IZA0","79932","KIAA0319L","seq.13698.28",TRUE,TRUE,FALSE
"SL000062","Prostate-specific antigen","PSA","P07288","354","KLK3",10,"PASS","P07288","354","KLK3","seq.13699.6",FALSE,FALSE,TRUE
"SL004209","Annexin A2","annexin II","P07355","302","ANXA2",10,"PASS","P07355","302","ANXA2","seq.13700.10",TRUE,FALSE,TRUE
"SL003167","C-X-C motif chemokine 13","BLC","O43927","10563","CXCL13",10,"PASS","O43927","10563","CXCL13","seq.13701.2",FALSE,FALSE,TRUE
"SL014847","Hydroxymethylglutaryl-CoA synthase, mitochondrial","HMCS2","P54868","3158","HMGCS2",10,"PASS","P54868","3158","HMGCS2","seq.13704.5",TRUE,FALSE,FALSE
"SL004148","Interleukin-12 receptor subunit beta-1","IL-12 Rb1","P42701","3594","IL12RB1",10,"PASS","P42701","3594","IL12RB1","seq.13706.12",TRUE,TRUE,FALSE
"SL005488","SPARC-like protein 1","SPARCL1","Q14515","8404","SPARCL1",10,"PASS","Q14515","8404","SPARCL1","seq.13707.27",TRUE,FALSE,TRUE
"SL003915","Kallikrein-8","kallikrein 8","O60259","11202","KLK8",10,"PASS","O60259","11202","KLK8","seq.13708.56",TRUE,FALSE,TRUE
"SL000308","Plasma protease C1 inhibitor","C1-Esterase Inhibitor","P05155","710","SERPING1",0.005,"PASS","P05155","710","SERPING1","seq.13710.6",TRUE,FALSE,TRUE
"SL008164","Clathrin heavy chain 1","CLH1","Q00610","1213","CLTC",10,"PASS","Q00610","1213","CLTC","seq.13711.10",TRUE,FALSE,FALSE
"SL004298","Granzyme A","granzyme A","P12544","3001","GZMA",10,"PASS","P12544","3001","GZMA","seq.13712.104",FALSE,FALSE,TRUE
"SL020224","Vesicle-trafficking protein SEC22a","SC22A","Q96IW7","26984","SEC22A",10,"PASS","Q96IW7","26984","SEC22A","seq.13713.164",TRUE,TRUE,FALSE
"SL006542","Ficolin-2","FCN2","Q15485","2220","FCN2",0.5,"PASS","Q15485","2220","FCN2","seq.13717.15",FALSE,FALSE,TRUE
"SL020219","Serine/threonine-protein kinase PAK 4","PAK4","O96013","10298","PAK4",10,"PASS","O96013","10298","PAK4","seq.13719.19",TRUE,FALSE,FALSE
"SL004008","Myeloblastin","Proteinase-3","P24158","5657","PRTN3",0.5,"PASS","P24158","5657","PRTN3","seq.13720.95",TRUE,FALSE,TRUE
"SL000325","Complement component C9","C9","P02748","735","C9",0.005,"PASS","P02748","735","C9","seq.13722.105",FALSE,FALSE,TRUE
"SL001717","Interleukin-10","IL-10","P22301","3586","IL10",10,"PASS","P22301","3586","IL10","seq.13723.6",TRUE,FALSE,TRUE
"SL004337","Fibroblast growth factor 19","FGF-19","O95750","9965","FGF19",10,"PASS","O95750","9965","FGF19","seq.13724.27",FALSE,FALSE,TRUE
"SL004334","Fibroblast growth factor 16","FGF-16","O43320","8823","FGF16",10,"PASS","O43320","8823","FGF16","seq.13725.3",TRUE,FALSE,TRUE
"SL003738","T-lymphocyte activation antigen CD80","B7","P33681","941","CD80",10,"PASS","P33681","941","CD80","seq.13726.4",TRUE,TRUE,FALSE
"SL020220","Speckle-type POZ protein","SPOP","O43791","8405","SPOP",10,"PASS","O43791","8405","SPOP","seq.13727.44",TRUE,FALSE,FALSE
"SL003522","Endoplasmic reticulum resident protein 29","ERP29","P30040","10961","ERP29",0.5,"PASS","P30040","10961","ERP29","seq.13728.19",TRUE,FALSE,FALSE
"SL020226","Sideroflexin-5","SFXN5","Q8TD22","94097","SFXN5",10,"PASS","Q8TD22","94097","SFXN5","seq.13729.26",TRUE,TRUE,FALSE
"SL007280","Dipeptidyl peptidase 1","CATC","P53634","1075","CTSC",10,"PASS","P53634","1075","CTSC","seq.13730.18",TRUE,FALSE,FALSE
"SL000323","Complement component C7","C7","P10643","730","C7",0.005,"PASS","P10643","730","C7","seq.13731.14",FALSE,FALSE,TRUE
"SL002783","Cardiotrophin-1","Cardiotrophin-1","Q16619","1489","CTF1",0.5,"PASS","Q16619","1489","CTF1","seq.13732.79",TRUE,FALSE,TRUE
"SL004250","Interleukin-12 subunit beta","IL-12 p40","P29460","3593","IL12B",10,"PASS","P29460","3593","IL12B","seq.13733.5",FALSE,FALSE,TRUE
"SL004348","Interferon lambda-1","IFN-lambda 1","Q8IU54","282618","IFNL1",10,"PASS","Q8IU54","282618","IFNL1","seq.13734.22",FALSE,FALSE,TRUE
"SL020221","Rap1 GTPase-activating protein 1","RPGP1","P47736","5909","RAP1GAP",10,"PASS","P47736","5909","RAP1GAP","seq.13735.1",TRUE,FALSE,FALSE
"SL001932","Inhibin beta A chain","Inhibin bA chain","P08476","3624","INHBA",10,"PASS","P08476","3624","INHBA","seq.13738.8",FALSE,FALSE,TRUE
"SL014071","Leucine-rich repeat transmembrane protein FLRT1","FLRT1","Q9NZU1","23769","FLRT1",10,"PASS","Q9NZU1","23769","FLRT1","seq.13739.3",FALSE,TRUE,FALSE
"SL004650","Secreted frizzled-related protein 3","sFRP-3","Q92765","2487","FRZB",0.5,"PASS","Q92765","2487","FRZB","seq.13740.51",FALSE,FALSE,TRUE
"SL000462","Insulin-like growth factor-binding protein 1","IGFBP-1","P08833","3484","IGFBP1",10,"PASS","P08833","3484","IGFBP1","seq.13741.36",FALSE,FALSE,TRUE
"SL004347","Interleukin-22","IL-22","Q9GZX6","50616","IL22",10,"PASS","Q9GZX6","50616","IL22","seq.13742.66",FALSE,FALSE,TRUE
"SL020222","Cullin-4B","CUL4B","Q13620","8450","CUL4B",10,"PASS","Q13620","8450","CUL4B","seq.13743.56",TRUE,FALSE,FALSE
"SL005187","Interleukin-3 receptor subunit alpha","IL-3 Ra","P26951","3563","IL3RA",10,"PASS","P26951","3563","IL3RA","seq.13744.37",TRUE,TRUE,FALSE
"SL025962","Polycystin-2:Cytoplasmic domain 4","PKD2:CD 4","Q13563","5311","PKD2",10,"PASS","Q13563","5311","PKD2","seq.13745.10",FALSE,TRUE,FALSE
